State FIPS Code,County FIPS Code,Postal Code,Name,Median Household Income,"Poverty Percent, All Ages","Percent of adults with a bachelor's degree or higher, 2012-2016",Alzheimer's Disease/Dementia,Arthritis,Asthma,Atrial Fibrillation,COPD,Cancer,Chronic Kidney Disease,Depression ,Diabetes,Heart Failure,Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke,,,,,,,,
01,001,AL,Autauga County,54487,13.5,24.593,8.775,24.6565,3.8477,7.3027,12.5638,7.8524,10.8166,9.9136,25.5202,14.0558,36.9847,53.5532,28.7201,5.2611,2.925,5.2611,,,,,,,,
01,003,AL,Baldwin County,56460,11.7,29.547,9.2613,27.6569,4.0945,8.618,10.7188,7.9587,8.6299,8.5504,22.1604,13.7411,41.2748,54.4361,31.5647,4.5473,2.1882,4.2216,,,,,,,,
01,005,AL,Barbour County,32884,29.9,12.868,11.03,30.684,5.1906,6.4612,10.4082,7.5155,13.6794,8.624,30.8191,17.7616,46.2828,66.2882,25.2501,5.8394,3.6496,5.4339,,,,,,,,
01,007,AL,Bibb County,43079,20.1,12,11.0242,29.2365,3.7244,6.2942,13.4823,6.0708,17.095,13.3706,28.9758,19.0317,42.6443,60.4469,28.3799,4.9534,4.0223,4.581,,,,,,,,
01,009,AL,Blount County,47213,14.1,13.05,10.2299,26.5134,4.4716,7.7621,13.9,6.1801,11.6642,13.2462,26.872,19.6372,43.3242,58.6585,31.892,4.7458,2.9951,4.7669,,,,,,,,
01,011,AL,Bullock County,34278,32.6,10.255,10.0415,34.0249,2.4896,4.5643,8.8797,6.805,15.1037,6.473,33.9419,18.5892,36.6805,66.805,26.473,3.3195,2.9046,5.0622,,,,,,,,
01,013,AL,Butler County,35409,24.8,16.08,12.7716,34.5257,4.425,6.5183,14.2554,6.7303,12.8776,12.2152,32.7239,19.6078,37.1754,62.7981,28.2724,4.3985,3.4181,5.0609,,,,,,,,
01,015,AL,Calhoun County,41778,17.1,17.653,10.6016,33.0138,4.5145,6.1768,14.7762,6.0115,13.1706,10.8614,27.1156,19.0026,40.4751,58.8874,35.578,5.4543,3.537,4.4343,,,,,,,,
01,017,AL,Chambers County,39530,19.9,12.484,11.0338,29.4854,3.1525,5.146,13.4601,5.5169,12.2392,7.2632,31.9734,19.9042,37.104,56.6219,35.8832,5.3933,2.9207,4.497,,,,,,,,
01,019,AL,Cherokee County,41456,16.8,13.962,9.8353,27.8584,3.3932,5.9995,14.8758,7.0322,11.8761,12.4662,26.8994,17.2609,42.7834,56.9707,29.6041,3.1719,2.4588,3.9587,,,,,,,,
01,021,AL,Chilton County,44188,18.3,14.855,12.6839,34.6274,4.3405,6.993,14.3477,6.6554,13.3832,12.5874,28.5025,18.0612,40.463,59.2476,34.0728,5.0398,3.4242,4.6057,,,,,,,,
01,023,AL,Choctaw County,32691,22.7,11.96,10.9274,38.785,3.0194,5.4996,11.7541,6.7218,9.7052,8.9504,29.7268,15.7081,31.1646,60.9633,24.2991,2.0129,2.4443,4.2775,,,,,,,,
01,025,AL,Clarke County,34061,29,12.137,11.0674,24.1244,3.0466,6.6321,10.6321,6.342,10.0311,6.6114,28.7668,16.8705,33.5959,57.3057,26.9845,3.0881,2.8187,4.6425,,,,,,,,
01,027,AL,Clay County,38512,18.9,11.063,11.6807,37.2757,3.918,5.5291,17.8689,5.2362,9.3739,11.6075,25.119,24.9725,35.1153,53.0941,33.9802,3.442,3.5152,4.1743,,,,,,,,
01,029,AL,Cleburne County,43483,17.2,11.528,10.0653,33.5382,3.496,5.9547,14.5217,5.2632,13.1387,9.5659,26.3158,18.5171,40.2228,58.7399,34.8444,3.9954,3.4191,3.9954,,,,,,,,
01,031,AL,Coffee County,48632,14.4,23.667,10.6311,33.65,4.9707,6.7794,14.0143,7.7554,10.3578,9.2908,27.9245,15.4327,41.9128,64.242,31.9974,5.0618,2.8887,3.8647,,,,,,,,
01,033,AL,Colbert County,46572,16.7,18.471,10.2321,34.196,4.697,7.0639,13.8976,6.585,10.7386,10.4255,31.8843,15.6014,53.9234,68.1433,35.8998,6.3456,2.5972,4.0247,,,,,,,,
01,035,AL,Conecuh County,29758,28.1,8.663,9.1049,51.7747,6.1728,5.0926,17.3997,6.6358,10.7639,11.6512,31.6358,17.5154,38.4645,70.4861,30.6327,3.3565,2.662,5.0154,,,,,,,,
01,037,AL,Coosa County,36441,17.5,9.941,9.9699,25.4008,2.6553,5.0601,14.8798,6.513,15.982,7.3647,27.9559,19.99,32.014,60.0701,32.8657,2.2545,3.6072,5.7114,,,,,,,,
01,039,AL,Covington County,35010,19.6,14.921,10.0334,39.4909,3.9664,7.5127,19.313,6.9072,9.9345,10.2311,29.0004,18.0774,46.1634,62.3008,29.6923,7.2532,3.5092,5.2885,,,,,,,,
01,041,AL,Crenshaw County,37374,20.5,14.648,11.257,28.2418,3.6993,5.7279,14.2005,5.6484,9.825,9.7454,27.0088,16.6667,31.9411,55.0915,25.895,5.0915,4.2959,4.4948,,,,,,,,
01,043,AL,Cullman County,41543,14.9,14.969,9.3299,32.159,3.4555,7.2791,14.0625,6.6331,13.4465,13.5667,28.3729,22.3032,45.628,60.3666,33.9318,7.0313,2.2536,6.3552,,,,,,,,
01,045,AL,Dale County,40523,20.6,16.069,10.4338,29.6556,4.7445,6.7154,12.0797,7.4368,11.338,9.9665,28.4161,15.5237,40.9733,61.211,29.615,6.3802,2.8955,3.8708,,,,,,,,
01,047,AL,Dallas County,30488,35.4,13.784,10.0947,30.8975,4.1606,4.2006,10.4147,7.6544,11.4682,9.0945,35.1113,22.603,30.6974,63.4618,33.3378,4.2672,6.1475,4.8406,,,,,,,,
01,049,AL,DeKalb County,37128,20.5,11.366,9.3785,25.9547,3.9311,6.0839,14.6574,6.3459,10.0618,10.0243,26.404,17.4654,38.6653,56.009,30.672,5.0356,3.5193,4.4646,,,,,,,,
01,051,AL,Elmore County,54553,13.5,22.238,11.5371,30.6709,3.1476,6.7093,13.6907,6.9104,11.9157,9.703,26.0561,15.2645,40.1609,55.6502,29.9491,5.5023,3.4315,5.7271,,,,,,,,
01,053,AL,Escambia County,35096,23.3,11.626,11.5026,35.3659,4.6823,6.8052,13.4297,7.5128,10.268,12.7522,30.1566,18.1722,33.8452,62.1349,30.9696,4.5769,2.71,4.1855,,,,,,,,
01,055,AL,Etowah County,40972,17.5,16.492,11.2499,30.0184,4.2222,6.3751,16.5151,6.6652,11.6571,13.7766,29.232,19.4936,44.7041,61.7826,30.6375,3.4916,4.0493,4.9417,,,,,,,,
01,057,AL,Fayette County,38403,20.3,14.145,10.1864,28.2623,3.1292,6.0586,15.8455,6.4581,10.719,9.787,27.0639,17.8429,31.6911,55.3928,26.6644,3.6951,3.3622,4.4274,,,,,,,,
01,059,AL,Franklin County,37049,20.1,12.39,9.6404,32.5342,3.3091,6.2131,18.7912,6.4494,9.5222,10.1975,27.1146,18.1327,42.0395,61.219,35.5563,4.339,3.0559,4.8118,,,,,,,,
01,061,AL,Geneva County,36976,20.9,11.662,10.847,31.5379,4.5134,7.2808,14.5617,7.4666,11.7571,10.5684,26.6345,17.1991,38.8744,58.9153,31.2964,6.575,3.3804,4.1233,,,,,,,,
01,063,AL,Greene County,26559,34,9.975,10.9438,33.758,5.443,4.5165,10.5385,6.1957,13.4337,8.454,39.8958,21.3665,39.0851,65.8367,17.3133,1.9108,3.1847,3.6479,,,,,,,,
01,065,AL,Hale County,35381,23.7,14.029,10.6056,29.3161,4.0976,4.429,11.1178,6.1766,10.7563,9.7318,29.7981,17.9572,37.6017,60.1386,21.9946,2.8623,3.1033,4.2181,,,,,,,,
01,067,AL,Henry County,41426,18.7,16.144,9.8841,32.6176,5.2829,6.4417,10.0545,7.396,12.4744,8.9639,28.2209,14.9966,42.8085,62.1677,28.3913,5.5215,2.9652,3.7491,,,,,,,,
01,069,AL,Houston County,42910,19.4,21.018,8.4802,27.4336,5.7696,7.3026,9.7554,7.1284,11.3581,10.1874,27.1549,13.8666,44.2199,61.6194,28.8342,6.9751,3.0381,3.9928,,,,,,,,
01,071,AL,Jackson County,41407,17.5,12.578,9.0572,30.2752,4.6945,6.2854,14.2007,6.5391,11.6631,9.7013,29.7775,19.2563,39.6155,58.335,32.2272,6.5099,2.4693,4.6848,,,,,,,,
01,073,AL,Jefferson County,50109,15.3,31.44,11.9212,27.3243,4.4516,6.7297,9.63,7.0742,13.1279,11.677,24.6827,16.8714,39.465,57.4398,28.4539,6.5392,4.4385,4.3818,,,,,,,,
01,075,AL,Lamar County,38358,18.6,13.063,12.0856,24.9548,1.8385,8.469,16.2146,6.8113,11.0609,12.3267,26.8234,19.8011,36.0759,56.3593,29.5057,4.6414,2.7728,4.6414,,,,,,,,
01,077,AL,Lauderdale County,44124,15.2,21.679,9.4408,26.4066,4.8622,8.3468,12.3929,7.2876,9.2556,8.9199,25.8104,14.0426,44.3274,61.6288,30.8694,5.5974,2.5932,3.3804,,,,,,,,
01,079,AL,Lawrence County,43107,16.8,10.309,8.8926,31.2487,4.3009,6.1708,16.2684,6.7733,11.9884,11.2819,35.7573,22.7924,44.8785,64.9075,35.6742,5.4644,2.8049,4.6956,,,,,,,,
01,081,AL,Lee County,47749,18.3,34.412,9.6976,24.0645,3.6836,5.5129,8.5199,7.1083,10.4911,7.6345,27.4641,16.1377,41.8059,58.6535,32.5008,5.7467,2.7063,3.2827,,,,,,,,
01,083,AL,Limestone County,52181,12.8,23.261,9.633,33.9777,4.6636,6.7497,13.27,6.5749,12.3635,10.6815,28.3967,17.1691,39.5697,61.3914,27.6431,7.6343,2.9052,4.1394,,,,,,,,
01,085,AL,Lowndes County,32011,31.7,12.282,10.3821,25.7475,4.0698,4.7342,8.3056,6.8937,14.5349,6.1462,33.9701,15.4485,35.2159,61.794,25.7475,3.2392,3.9037,4.6512,,,,,,,,
01,087,AL,Macon County,30681,30,20.042,12.5274,23.3382,2.9218,3.8349,6.7568,6.5741,13.7327,5.9533,31.6654,17.8232,33.6012,58.4003,24.8356,3.5793,5.588,4.7115,,,,,,,,
01,089,AL,Madison County,61193,13.5,40.672,9.2756,30.9119,4.1817,6.4356,10.3545,7.6332,12.8863,9.8239,25.7271,15.3498,41.8223,57.0331,26.6367,7.2113,2.6606,5.0256,,,,,,,,
01,091,AL,Marengo County,34794,25.8,14.789,9.8328,24.2215,4.1522,5.3345,9.9481,6.4302,9.7751,8.1315,34.6021,21.8858,33.7082,59.1696,27.1338,2.1626,4.1234,3.6909,,,,,,,,
01,093,AL,Marion County,36386,18.5,12.466,10.1686,26.3611,2.6168,7.9382,18.6336,5.8307,9.3432,11.7492,29.6277,17.8433,44.3274,62.9961,30.014,6.5332,2.5817,4.2677,,,,,,,,
01,095,AL,Marshall County,42117,21,16.567,11.0598,30.1373,3.3684,6.392,16.7005,5.9979,11.9342,11.7988,25.7405,18.6342,36.6587,55.9271,31.6768,5.7639,2.9805,5.7331,,,,,,,,
01,097,AL,Mobile County,45233,19.5,22.512,12.0958,25.1927,3.872,7.6217,9.9983,7.3231,11.063,8.9483,26.8987,15.7207,38.4903,56.4505,30.8417,5.1056,3.3385,5.1154,,,,,,,,
01,099,AL,Monroe County,36639,25.7,12.395,10.6306,36.731,2.8057,5.843,11.583,6.435,9.6268,8.7516,31.6602,16.139,39.2793,60.4891,26.8468,2.8829,2.574,4.6847,,,,,,,,
01,101,AL,Montgomery County,45111,18.8,31.46,11.1465,26.3955,3.3973,6.6225,9.2285,7.7621,12.9397,8.7211,26.2664,14.5652,36.3077,55.7194,25.5526,5.4442,4.2444,4.6014,,,,,,,,
01,103,AL,Morgan County,46843,15.8,21.429,9.8856,29.5731,4.3001,7.1582,14.0394,7.5866,11.8136,11.3956,29.0036,18.3604,40.3887,59.7994,29.4634,5.9094,3.6209,4.1643,,,,,,,,
01,105,AL,Perry County,25221,35,14.493,15.4485,33.7763,3.7099,3.6545,11.4618,7.6966,13.4551,10.6312,35.2159,21.6501,33.2226,64.5626,28.0731,2.5471,5.2602,4.5958,,,,,,,,
01,107,AL,Pickens County,35968,25.8,11.119,11.0176,29.1409,3.491,6.4868,12.7507,6.561,11.1909,9.5568,29.6608,15.8207,53.1567,61.5746,22.3818,4.2337,3.8623,5.3974,,,,,,,,
01,109,AL,Pike County,35172,25.1,23.988,10.5592,25.7979,4.7516,5.2556,10.7751,5.9515,10.1992,8.1833,26.4939,16.0307,34.9172,58.0034,27.3098,4.8956,3.1198,5.6875,,,,,,,,
01,111,AL,Randolph County,40283,21.8,15.379,10.1105,28.8665,2.3775,5.1633,14.2891,4.2267,11.1912,8.6215,28.4102,22.5264,43.1076,60.7349,35.6628,3.8184,2.8098,3.7704,,,,,,,,
01,113,AL,Russell County,38617,19.3,17.014,9.0113,31.6918,4.7468,5.851,11.4228,7.0821,12.9077,10.0647,33.7733,19.6979,43.5208,65.3129,34.9664,5.5337,2.9953,4.8356,,,,,,,,
01,115,AL,St. Clair County,57856,12,16.104,10.0642,25.5901,3.4469,6.3309,10.242,7.5852,12.7111,10.8642,24.6716,15.1704,43.8222,54.8346,30.4,5.8568,2.9432,4.0593,,,,,,,,
01,117,AL,Shelby County,74212,7.9,41.423,10.397,28.5843,5.0487,7.1011,12.0899,5.6629,12.5243,12.8689,26.5318,16.9139,40.7491,56.8689,31.6554,4.2547,3.8502,4.2097,,,,,,,,
01,119,AL,Sumter County,26814,32.4,18.12,11.1493,29.6169,3.0943,4.8134,11.002,6.8271,10.5599,8.3497,30.5501,15.7171,39.4892,63.556,20.334,1.7191,3.831,4.2731,,,,,,,,
01,121,AL,Talladega County,40555,18,13.091,10.3167,25.3093,4.7849,6.5666,13.3821,6.3798,12.2306,11.297,27.7912,18.7427,34.7001,58.8734,30.3198,3.2677,3.8824,5.9986,,,,,,,,
01,123,AL,Tallapoosa County,40169,20.2,17.316,11.1962,27.1369,2.3848,5.7111,14.3341,5.7989,15.1123,8.0708,28.48,19.3423,33.6262,59.3448,37.0905,4.3429,3.5522,5.1713,,,,,,,,
01,125,AL,Tuscaloosa County,47483,17.6,29.369,12.117,29.0745,5.0511,7.3408,12.0575,7.2125,11.0043,13.9167,26.794,15.863,46.4212,59.7197,23.5884,5.4998,5.106,4.877,,,,,,,,
01,127,AL,Walker County,39511,20.5,10.543,10.5688,27.7759,5.3735,6.9949,17.6825,6.4431,15.1698,13.2088,29.5246,20.1443,42.8268,60.8404,37.5467,5.7385,4.0832,3.5569,,,,,,,,
01,129,AL,Washington County,37575,18.2,9.623,9.6882,30.6068,3.2853,6.9058,9.4871,6.403,8.5149,7.0399,26.9192,16.4264,33.2551,57.8947,31.9812,3.7546,1.3745,4.0228,,,,,,,,
01,131,AL,Wilcox County,24216,31.9,11.302,8.9694,26.4769,2.3286,4.6141,8.7969,5.994,12.2898,7.2014,33.204,19.2755,30.0992,60.4571,23.8465,1.6386,3.8379,3.6654,,,,,,,,
01,133,AL,Winston County,38644,17.3,13.089,9.0341,37.3022,3.4971,5.1624,23.418,5.8909,10.408,11.2198,25.9367,19.9417,38.8426,64.2798,33.826,4.1007,2.8934,5.433,,,,,,,,
02,013,AK,Aleutians East Borough,63991,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
02,016,AK,Aleutians West Census Area,78151,8,,,,,,,,,,,,,,,,,,,,,,,,,
02,020,AK,Anchorage Borough,83959,7.2,,8.2194,19.4479,3.7369,5.9338,7.8422,6.5152,10.7847,10.6604,20.7971,10.6338,26.0873,39.3662,18.2895,4.1674,3.768,2.4498,,,,,,,,
02,050,AK,Bethel Census Area,46634,25.5,,4.4709,17.7347,3.1297,2.3845,12.9657,3.5768,5.9613,4.0238,8.1967,7.7496,9.687,29.9553,12.0715,1.7884,* ,1.9374,,,,,,,,
